Collection,Subsistence,Sex,BicondylarBreadth,Index_FM
RJT,Agriculture,Female,49.31,735.304211898898
RJT,Agriculture,Female,51.46,928.480744168134
RJT,Agriculture,Female,53.01,827.089611184708
RJT,Agriculture,Female,50.67,819.168399467946
RJT,Agriculture,Female,51.81,947.549897416159
RJT,Agriculture,Female,NA,851.26526621151
RJT,Agriculture,Female,46.73,820.662540933994
RJT,Agriculture,Female,44.26,634.39547046743
RJT,Agriculture,Female,50.81,721.503823690208
RJT,Agriculture,Female,49.86,883.242438274972
RJT,Agriculture,Female,49.9,942.814731889036
RJT,Agriculture,Female,51.77,1025.67494498581
RJT,Agriculture,Female,49.74,930.925374491525
RJT,Agriculture,Female,47.24,827.546555836172
RJT,Agriculture,Female,52.46,842.610885309217
RJT,Agriculture,Female,56.16,1002.34005869293
RJT,Agriculture,Female,54.78,920.197620977679
RJT,Agriculture,Female,47.66,840.559975085137
RJT,Agriculture,Female,52.04,790.349313419506
RJT,Agriculture,Female,55.81,864.73798630643
RJT,Agriculture,Female,60.68,937.078105163764
RJT,Agriculture,Female,53.46,993.532446608956
RJT,Agriculture,Female,51.2,801.852254920625
RJT,Agriculture,Female,50.77,797.848687782706
RJT,Agriculture,Female,46.46,779.913728022444
RJT,Agriculture,Female,49.84,674.75095597875
RJT,Agriculture,Female,52.62,886.452596188226
RJT,Agriculture,Female,48.21,692.696440074402
RJT,Agriculture,Female,52.4,690.587881625129
RJT,Agriculture,Female,46.34,723.415168660652
RJT,Agriculture,Female,50.27,913.876265319759
RJT,Agriculture,Female,54.55,870.433850867021
RJT,Agriculture,Female,48.2,760.976207506605
RJT,Agriculture,Female,50.17,826.553027159474
RJT,Agriculture,Female,48.05,764.076959455698
RJT,Agriculture,Female,48.07,767.543314249852
HTH,Agriculture,Male,54.36,926.975921287064
RJT,Agriculture,Male,47.97,831.027911735248
RJT,Agriculture,Female,55.28,1086.2702197077
RJT,Agriculture,Female,49.44,924.673919270146
RJT,Agriculture,Male,52.73,889.324404572689
RJT,Agriculture,Male,49.34,854.100317961926
HTH,Agriculture,Female,50.79,770.072924654523
RJT,Agriculture,Female,49.42,726.672371923894
HTH,Agriculture,Male,52.61,845.508611833072
HTH,Agriculture,Female,47.01,802.486149778303
RJT,Agriculture,Male,56.62,926.481434603389
