Subsistence,Collection,Sex,BicondylarBreadth,Index_FM
Agriculture,HTH,Male,46.98,637.897246718754
Agriculture,RJT,Male,53.01,830.38200028567
Agriculture,HTH,Female,52.03,736.053560286595
Agriculture,HTH,Male,51.15,963.153402728376
Agriculture,RJT,Female,54.55,870.433850867021
Agriculture,RJT,Male,50.2,935.860659470682
Agriculture,RJT,Male,48.12,737.415126542661
Agriculture,HTH,Male,50.09,955.462783912388
Agriculture,RJT,Female,46.73,820.662540933994
Agriculture,RJT,Male,55.37,849.596059494841
Agriculture,RJT,Male,50.52,813.015040477176
Agriculture,RJT,Male,49.56,891.05620752298
Agriculture,RJT,Female,52.46,842.610885309217
Agriculture,HTH,Female,53.49,954.239918971978
Agriculture,HTH,Female,45.87,703.559203532536
Agriculture,HTH,Male,52.96,890.251959803661
Agriculture,HTH,Male,51.37,997.845067924172
Agriculture,RJT,Female,48.2,760.976207506605
Agriculture,HTH,Male,51.17,752.833042268867
Agriculture,HTH,Male,50.92,839.047926540965
Agriculture,RJT,Male,54.15,973.960481456725
Agriculture,RJT,Male,55.2,924.392039869303
Agriculture,RJT,Male,50.29,856.044885274681
Agriculture,HTH,Female,53.31,896.644943774084
Agriculture,RJT,Male,52.05,876.342479790076
Agriculture,RJT,Male,55.43,1041.35644033566
Agriculture,HTH,Female,45.15,845.019465856908
Agriculture,HTH,Female,50.3,774.712350145528
Agriculture,RJT,Female,52.33,753.896942621005
Agriculture,RJT,Male,53.79,997.323877702941
Agriculture,RJT,Male,46.22,661.122648507661
Agriculture,HTH,Male,55.18,997.024091223972
Agriculture,RJT,Male,53.44,909.661661695335
Agriculture,RJT,Male,51.87,820.029902713377
Agriculture,HTH,Male,51.94,812.29098191034
Agriculture,HTH,Male,52.6,1046.42422198498
Agriculture,HTH,Male,58.22,802.317603332438
Agriculture,HTH,Male,51.96,892.496313595386
Agriculture,RJT,Male,51.9,744.275658039754
Agriculture,HTH,Female,46.76,914.524847123092
Agriculture,HTH,Female,49.09,725.171868732724
Agriculture,RJT,Male,53.45,816.193232685181
Agriculture,HTH,Male,50.34,806.001670497486
Agriculture,RJT,Female,44.37,691.37343686816
Agriculture,RJT,Male,51.14,1027.24896144508
Agriculture,RJT,Male,51.96,829.721637509885
Agriculture,RJT,Male,48.01,801.991584554812
Agriculture,RJT,Male,56.96,1061.64029038319
Agriculture,HTH,Male,38.5,665.307014302794
Agriculture,HTH,Male,49.47,879.520593458264
Agriculture,RJT,Male,50.38,878.110960834598
Agriculture,HTH,Female,48.79,918.683059159384
Agriculture,RJT,Male,51.56,867.316134317598
Agriculture,RJT,Male,55.31,864.30240448501
Agriculture,HTH,Male,53.69,937.649796486901
Agriculture,RJT,Male,50.69,964.082607295491
Agriculture,RJT,Male,52.77,838.193884578086
Agriculture,HTH,Female,49.25,801.163931970223
Agriculture,RJT,Male,54.88,879.997801382344
Agriculture,HTH,Male,55.33,1273.2007945427
Agriculture,HTH,Male,50.53,865.313133381486
Agriculture,RJT,Male,49.65,621.387234846343
Agriculture,HTH,Male,48.24,948.229345367314
Agriculture,HTH,Male,53.17,1046.74788456811
Agriculture,HTH,Female,53.44,828.385518154314
Agriculture,RJT,Female,45.87,679.424781909312
Agriculture,RJT,Male,47.8,834.41234950096
Agriculture,HTH,Male,52.1,870.990855244502
Agriculture,HTH,Female,50.91,992.37689029115
Agriculture,RJT,Female,53.7,965.565360488169
Agriculture,RJT,Male,54.58,915.136515212746
Agriculture,HTH,Female,47.69,781.66280973233
Agriculture,HTH,Male,54.7,892.160241721268
Agriculture,RJT,Male,50,728.923008900926
Agriculture,HTH,Female,46.77,709.565378907485
Agriculture,RJT,Male,56.59,1047.29546416763
Agriculture,RJT,Male,48.42,1099.49758141638
Agriculture,HTH,Female,45.2,NA
Agriculture,HTH,Male,52.19,1026.71434091525
Agriculture,HTH,Male,49.78,834.828924686826
Agriculture,HTH,Male,54.61,NA
Agriculture,HTH,Male,54.1,898.74399890558
Agriculture,RJT,Male,48.45,1018.25890136775
Agriculture,RJT,Female,52.34,796.040308511484
Agriculture,HTH,Female,47.06,775.791801381301
Agriculture,RJT,Male,47.68,812.839975226555
Agriculture,HTH,Male,53.53,945.554986081129
Agriculture,HTH,Female,49.44,NA
Agriculture,HTH,Female,49.11,836.144702229966
Agriculture,RJT,Female,45.33,767.565305398427
Agriculture,RJT,Male,51.61,845.949769981452
Agriculture,HTH,Male,49.17,931.960450731066
Agriculture,RJT,Female,45.28,721.77093760558
Agriculture,RJT,Male,51.89,922.057836527686
Agriculture,RJT,Female,49.61,880.564858856317
Agriculture,RJT,Male,55.52,903.195321536451
Agriculture,HTH,Female,47.97,834.789340619391
Agriculture,RJT,Female,49.36,770.591051822916
Agriculture,HTH,Male,NA,NA
Agriculture,HTH,Female,50.42,762.581168653507
Agriculture,HTH,Male,51.82,1020.19663571648
Agriculture,HTH,Male,49.78,724.242821245241
Agriculture,HTH,Female,45.96,685.807163004529
Agriculture,HTH,Female,49.73,857.823026716613
Agriculture,HTH,Female,48.08,NA
Agriculture,HTH,Female,47.96,782.680685752093
Agriculture,RJT,Male,52.87,1004.84068790537
Agriculture,RJT,Female,49.71,846.511957986812
Agriculture,RJT,Male,55.37,1003.0513152697
Agriculture,RJT,Female,44.07,803.466719385305
Agriculture,RJT,Female,48.69,678.809029749209
Agriculture,RJT,Female,44.58,744.476405810318
Agriculture,RJT,Male,47,816.325336656264
Agriculture,RJT,Male,51.02,823.343497564751
Agriculture,RJT,Male,51.57,912.070320782842
Agriculture,RJT,Male,50.01,1069.93786489985
Agriculture,RJT,Male,53.25,858.384586403442
Agriculture,RJT,Female,49.5,900.866223282896
Agriculture,HTH,Female,46.06,651.883145973638
Agriculture,HTH,Female,48.37,703.842810809339
Agriculture,RJT,Male,48.24,759.090466516287
Agriculture,RJT,Male,52.79,771.892456579666
Agriculture,RJT,Male,56.95,1009.34973730125
Agriculture,HTH,Female,44.75,587.790414690323
Agriculture,RJT,Male,49.39,879.326364492456
Agriculture,RJT,Male,50.03,715.204066481781
Agriculture,RJT,Male,51.24,999.673003609663
Agriculture,HTH,Female,51.04,937.122166000731
Agriculture,RJT,Female,52.04,790.349313419506
Agriculture,HTH,Female,51.81,909.944405034158
Agriculture,RJT,Female,48.31,751.491582205784
Agriculture,HTH,Female,50.37,834.5067543602
Agriculture,RJT,Female,46.51,999.180244801948
Agriculture,RJT,Female,49.12,900.786348289678
Agriculture,RJT,Male,53.99,1008.02414228107
Agriculture,RJT,Male,57.31,949.791423774495
Agriculture,RJT,Male,47.98,751.528652999097
Agriculture,RJT,Male,55.98,906.89611768238
Agriculture,RJT,Female,46.83,NA
Agriculture,RJT,Female,50.59,1113.85018307375
Agriculture,RJT,Male,52.41,944.538052539162
Agriculture,RJT,Female,51.3,864.993162169718
Agriculture,RJT,Male,54.56,993.482573825581
Agriculture,RJT,Female,50.91,859.993553080978
Agriculture,RJT,Female,50.65,851.340507355563
Agriculture,RJT,Female,47.89,800.733847935947
Agriculture,RJT,Female,50.27,913.876265319759
Agriculture,RJT,Male,50.95,961.266090941732
Agriculture,RJT,Male,55.43,946.936422910729
Agriculture,RJT,Male,47.74,863.038227601205
Agriculture,HTH,Female,49.33,881.801860963668
