Group,Site,SiteNo,Obs,Feature,Burial,Sex,MLC,MWC,MND,BCB,MXID,LFM,WFM,LBP
Arikara,Mobridge,39WW1,51,201,26E,M,26.25,17.55,16.75,52.15,44.75,33.55,29.20,22.90
Arikara,Mobridge,39WW1,52,201,36D,F,25.15,13.75,18.15,52.50,43.85,33.65,28.70,24.90
Arikara,Mobridge,39WW1,53,302,5B,M,24.60,13.45,17.25,51.65,45.00,33.90,28.20,25.10
Arikara,Mobridge,39WW1,54,301,7D,M,29.90,15.35,19.45,56.45,54.00,44.70,33.60,23.35
Arikara,Mobridge,39WW1,55,302,9,M,29.00,15.70,25.00,56.70,50.65,38.35,32.70,24.55
Arikara,Mobridge,39WW1,56,302,26B,F,23.35,14.40,17.30,49.10,43.85,31.45,26.70,24.65
Arikara,Mobridge,39WW1,57,301,7B,M,25.90,15.15,23.70,53.75,44.40,37.30,29.50,24.25
Arikara,Mobridge,39WW1,58,302,12B,M,27.20,14.90,19.65,52.40,42.75,38.25,30.90,26.50
Arikara,Mobridge,39WW1,59,301,7E,M,23.50,13.65,17.45,49.80,45.60,34.20,29.85,25.05
Arikara,Mobridge,39WW1,60,302,21D,F,22.35,13.60,14.40,50.10,36.75,32.95,27.65,24.05
Arikara,Mobridge,39WW1,61,302,27C,M,21.55,14.10,26.05,52.65,44.35,37.35,32.15,24.30
Arikara,Mobridge,39WW1,62,302,22,F,26.25,16.25,17.35,52.95,44.80,36.35,31.05,24.25
Arikara,Mobridge,39WW1,63,302,24,M,24.05,15.40,24.15,54.05,45.60,37.80,30.80,28.05
Arikara,Mobridge,39WW1,64,302,25D,F,24.60,16.75,15.15,51.20,40.60,34.85,26.75,24.10
Arikara,Mobridge,39WW1,65,302,27B,F,23.60,15.20,20.90,55.75,51.90,36.25,29.00,23.70
Arikara,Mobridge,39WW1,66,302,27D,M,24.05,14.15,20.60,52.60,45.60,36.50,32.95,26.35
Arikara,Mobridge,39WW1,67,302,33B,M,24.00,14.40,20.90,53.80,44.85,37.00,31.70,23.50
Arikara,Mobridge,39WW1,68,302,32,M,25.50,15.50,23.15,54.95,48.40,37.35,31.10,24.65
Arikara,Mobridge,39WW1,69,302,33A,F,25.20,13.90,23.60,53.80,47.30,34.35,28.70,23.20
Arikara,Mobridge,39WW1,70,302,27E,F,23.15,15.75,19.40,50.30,40.45,35.30,26.90,24.05
Arikara,Mobridge,39WW1,71,302,38C,F,21.10,16.90,21.00,51.05,45.50,35.20,29.50,21.60
Arikara,Mobridge,39WW1,72,303,lA,F,22.80,15.60,20.40,50.90,41.55,34.85,27.20,24.95
Arikara,Mobridge,39WW1,73,303,2B,M,25.35,15.30,20.50,53.10,48.15,35.85,33.15,25.85
Arikara,Mobridge,39WW1,74,101,10E,F,26.00,,15.25,53.10,42.15,36.40,28.35,24.10
Arikara,Mobridge,39WW1,75,301,12A,M,,,,53.10,43.15,34.85,30.90,24.95
Arikara,Mobridge,39WW1,76,301,26A,F,19.50,13.90,,55.30,49.55,34.90,29.45,23.85
Arikara,Mobridge,39WW1,77,303,2C,M,,19.40,,56.80,48.30,34.40,30.35,25.55
Arikara,Mobridge,39WW1,5,201,11,F,24.85,14.90,15.40,49.05,38.00,33.70,26.40,23.25
Arikara,Mobridge,39WW1,6,30,7A,F,22.80,14.45,19.70,48.95,40.20,33.50,28.60,22.20
Arikara,Mobridge,39WW1,7,302,44D,F,25.00,16.10,19.50,50.45,41.70,35.70,28.35,21.10
Arikara,Mobridge,39WW1,8,303,lD,F,26.00,15.60,21.15,57.30,46.45,35.75,31.40,26.60
Arikara,Mobridge,39WW1,9,302,44C,F,,14.50,,53.10,46.60,34.35,30.30,26.05
Arikara,Larson,39WW2,78,201,38B,F,24.80,15.60,21.80,54.80,48.10,32.55,29.25,16.65
Arikara,Larson,39WW2,79,201,63B,M,20.85,11.70,18.50,51.10,46.60,36.85,34.40,21.75
Arikara,Larson,39WW2,80,201,64A,F,26.00,14.40,24.80,55.80,49.50,36.10,30.45,20.00
Arikara,Larson,39WW2,81,201,66,M,24.30,17.05,26.80,52.65,49.10,40.15,33.05,22.50
Arikara,Larson,39WW2,82,201,68A,M,20.85,14.65,23.40,50.85,47.05,40.15,31.10,21.10
Arikara,Larson,39WW2,83,201,69C,M,25.75,16.25,20.85,51.60,45.45,32.45,29.50,19.10
Arikara,Larson,39WW2,84,201,71E,M,24.10,15.30,22.25,51.75,47.00,38.10,29.75,19.25
Arikara,Larson,39WW2,85,201,75A,M,26.65,15.80,20.75,52.00,47.00,38.65,31.65,18.35
Arikara,Larson,39WW2,86,201,38C,F,26.00,14.30,16.25,50.40,46.55,35.45,29.60,24.95
Arikara,Larson,39WW2,87,201,50,F,22.75,14.25,20.10,51.15,45.35,34.75,28.35,24.05
Arikara,Larson,39WW2,88,201,54B,M,24.60,14.35,23.75,56.95,49.10,34.80,33.10,25.10
Arikara,Larson,39WW2,89,201,55F,F,24.80,15.35,24.20,53.80,48.15,31.90,29.70,27.75
Arikara,Larson,39WW2,90,201,84I,M,26.65,16.10,17.75,55.90,46.70,33.00,28.65,27.60
Arikara,Larson,39WW2,91,201,85,F,22.10,17.00,27.55,52.50,49.00,36.45,28.05,25.70
Arikara,Larson,39WW2,92,201,94,M,29.10,11.35,21.10,52.20,46.80,38.60,29.15,27.60
Arikara,Larson,39WW2,93,201,95,M,24.15,13.90,16.85,52.05,47.10,34.40,42.10,21.30
Arikara,Larson,39WW2,94,201,97G,M,22.20,18.55,17.90,55.00,48.90,36.80,33.40,26.15
Arikara,Larson,39WW2,95,201,101B,F,25.95,16.25,19.60,58.40,51.15,36.75,32.50,24.40
Arikara,Larson,39WW2,96,201,111C,F,20.95,16.35,20.10,49.65,44.50,32.95,26.45,23.75
Arikara,Larson,39WW2,97,201,113D,F,26.50,13.90,17.55,50.10,46.20,36.25,29.65,23.35
