IID,Subsistence,Collection,Sex,ForamenMagnumS,ForamenMagnumT,BicondylarBreadth,DepthEOP,LambdaInion,GeneralForm,NuchalCrest,NuchalLine
246,Hunter_Gatherer,Windover,Female,,,,5.83333333333333,64.2766666666667,2,1,4
109a,Hunter_Gatherer,Windover,Female,,35.4666666666667,,3.70666666666667,61.4466666666667,1,0,2
109b,Hunter_Gatherer,Windover,Male,38.33,28.8466666666667,55.25,6.90666666666667,69.6,2,1,5
36c,Hunter_Gatherer,Windover,Female,,,,7.20333333333333,56.5066666666667,2,1,3
36e,Hunter_Gatherer,Windover,Female,,,,4.32,58.1966666666667,2,1,3
36f,Hunter_Gatherer,Windover,Female,35.5466666666667,28.5933333333333,51.27,3.39,60.06,2,1,3
501a,Hunter_Gatherer,Windover,Female,34.8266666666667,30.52,48.9033333333333,5.4,54.4533333333333,2,1,4
501b,Hunter_Gatherer,Windover,Female,35.9166666666667,31.2166666666667,52.78,6.6,68.4033333333333,2,1,6
501c,Hunter_Gatherer,Windover,Female,35.3066666666667,28.0133333333333,55.12,5.73,57.8766666666667,2,1,4
501d,Hunter_Gatherer,Windover,Male,38.7933333333333,34.1933333333333,58.9366666666667,3.87666666666667,59.4533333333333,1,1,3
501f,Hunter_Gatherer,Windover,Male,37.8866666666667,34.1866666666667,51.7533333333333,6.44333333333333,65.85,2,1,5
509a,Hunter_Gatherer,Windover,Male,35.7833333333333,32.67,59.27,6.25666666666667,69.5133333333333,2,1,5
509b,Hunter_Gatherer,Windover,Female,36.3566666666667,30.3366666666667,55.2433333333333,6.45333333333333,64.3566666666667,2,1,4
509c,Hunter_Gatherer,Windover,Female,36.4866666666667,31.7966666666667,53.85,5.08333333333333,55.8266666666667,1,0,4
57a,Hunter_Gatherer,Windover,Male,38.8066666666667,31.65,52.8966666666667,6.24333333333333,63.52,2,1,5
69b,Hunter_Gatherer,Windover,Male,34.72,29.6866666666667,52.7566666666667,12.2433333333333,66.9666666666667,3,1,5
74a,Hunter_Gatherer,Windover,Female,,,,6.38666666666667,71.4433333333333,2,1,3
99c,Hunter_Gatherer,Windover,Female,32.39,29.8066666666667,50.3033333333333,3.69333333333333,58.5766666666667,1,0,4
3,Agriculture,Military,Male,36.6833333333333,31.2666666666667,52.87,6.06666666666667,62.2533333333333,1,0,5
5,Agriculture,Military,Male,,,,8.95333333333333,65.3166666666667,3,1,5
6,Agriculture,Military,Male,34.4233333333333,30.8833333333333,49.4233333333333,7.96333333333333,53.6933333333333,2,1,4
9,Agriculture,Military,Male,37.8333333333333,34.2033333333333,52.11,5.78333333333333,57.6566666666667,2,0,4
10,Agriculture,Military,Male,34.4866666666667,32.29,52.9966666666667,4.20666666666667,69.1133333333333,2,1,4
12,Agriculture,Military,Male,35.9966666666667,31.3266666666667,48.32,3.00333333333333,68.64,1,1,4
13,Agriculture,Military,Male,,,,5.29666666666667,64.8,1,0,2
14,Agriculture,Military,Male,39.32,33.9066666666667,49.4766666666667,5.36333333333333,72.5,1,0,2
15,Agriculture,Military,Male,42.1833333333333,32.0266666666667,55.55,5.26333333333333,70.0033333333333,3,0,4
16,Agriculture,Military,Male,32.9566666666667,27.4866666666667,46.5533333333333,7.73666666666667,55.31,3,1,5
17,Agriculture,Military,Male,41.5033333333333,35.73,55.1633333333333,8.00333333333333,73.6366666666667,4,1,5
18,Agriculture,Military,Male,34.7733333333333,33.1833333333333,50.03,5.81666666666667,73.5733333333333,2,0,4
19,Agriculture,Military,Male,33.41,32.09,51.0633333333333,6.75333333333333,64.73,2,1,4
L1,Agriculture,FSUTC,Male,38.3033333333333,31.5733333333333,50.1166666666667,8.5,60.36,3,1,5
L10,Agriculture,FSUTC,Male,36.52,35.79,50.6,5.06666666666667,65.1466666666667,2,1,4
L11,Agriculture,FSUTC,Female,37.6566666666667,29.0133333333333,51.4933333333333,5.18333333333333,64.6,2,0,4
L12,Agriculture,FSUTC,Male,35.8966666666667,29.3033333333333,51.16,6.05,62.7,2,0,3
L13,Agriculture,FSUTC,Female,37.02,32.45,51.8133333333333,6.29666666666667,52.1466666666667,2,0,4
L14,Agriculture,FSUTC,Male,40.2366666666667,36.4333333333333,54.66,6.95,62.94,3,1,5
L16,Agriculture,FSUTC,Male,33.5766666666667,28.57,48.7466666666667,4.75333333333333,57.4466666666667,2,0,3
L19,Agriculture,FSUTC,Female,38.4866666666667,30.3066666666667,52.91,6.67,55.59,2,1,5
L2,Agriculture,FSUTC,Female,37.78,30.8266666666667,49.7033333333333,5.51333333333333,60.7466666666667,1,0,4
L20,Agriculture,FSUTC,Female,37.1233333333333,29.88,45.3733333333333,6.64666666666667,64.8366666666667,2,1,4
L21,Agriculture,FSUTC,Male,35.1766666666667,29.9533333333333,53.39,4.47,55.5033333333333,1,1,5
L24,Agriculture,FSUTC,Female,32.6633333333333,27.9533333333333,47.3933333333333,5.46333333333333,61.45,2,0,4
L26,Agriculture,FSUTC,Male,35.7333333333333,33.4866666666667,54.7333333333333,9.51333333333333,74.4333333333333,4,1,5
L3,Agriculture,FSUTC,Female,35.48,28.6066666666667,47.1633333333333,5.69,63.7666666666667,2,1,4
L38,Agriculture,FSUTC,Male,35.35,32.4966666666667,50.1166666666667,9.37,55.4133333333333,4,1,4
